"s1","s2","sim1"
0.5,0.5,7.18488076706172
1.5,0.5,7.3667620901867
2.5,0.5,7.41771757871395
3.5,0.5,7.30557328740163
4.5,0.5,7.373427490724
5.5,0.5,7.16120253619121
6.5,0.5,7.01384916040192
7.5,0.5,6.74362240356288
8.5,0.5,6.29030176597449
9.5,0.5,5.57573675388229
10.5,0.5,5.28366898228595
11.5,0.5,4.95596325808595
12.5,0.5,5.15780138207608
13.5,0.5,5.22496610719559
14.5,0.5,5.04530374672828
15.5,0.5,5.07937704239681
16.5,0.5,4.9139408722668
17.5,0.5,4.8937168488921
18.5,0.5,4.93236060085861
19.5,0.5,4.97841789022313
20.5,0.5,4.73171515319383
21.5,0.5,4.94377722937051
22.5,0.5,4.83020634312234
23.5,0.5,4.6953709059775
24.5,0.5,4.63653502083136
25.5,0.5,4.6342282948651
26.5,0.5,4.31276128463787
27.5,0.5,3.91343912318908
28.5,0.5,3.62499497497927
29.5,0.5,3.56401073603904
30.5,0.5,3.35920061732512
31.5,0.5,3.04269145483862
32.5,0.5,3.56208167403838
33.5,0.5,3.5017854426858
34.5,0.5,3.25652546991443
35.5,0.5,3.27239678433156
36.5,0.5,3.36020221776632
37.5,0.5,3.73670132133155
38.5,0.5,3.54895853791828
39.5,0.5,3.59534435647981
40.5,0.5,3.4911872013159
41.5,0.5,3.2935964288165
42.5,0.5,3.32050329528865
43.5,0.5,3.69415087588322
44.5,0.5,3.93387304154779
45.5,0.5,4.2517943908568
46.5,0.5,3.90821251034075
47.5,0.5,4.05445052678636
48.5,0.5,3.42090518944622
49.5,0.5,3.82783686860687
50.5,0.5,2.75838287492153
51.5,0.5,2.69073195089517
52.5,0.5,2.90213956893737
53.5,0.5,3.05838294353507
54.5,0.5,3.7875927158988
55.5,0.5,3.61353712750138
56.5,0.5,3.43265384623838
57.5,0.5,3.28315625449088
58.5,0.5,3.46326584785956
59.5,0.5,3.39477218247761
60.5,0.5,3.26210440513578
61.5,0.5,3.71015430760232
62.5,0.5,3.9143317748956
63.5,0.5,3.61707011624167
64.5,0.5,3.61000466395271
65.5,0.5,3.64872667731855
66.5,0.5,3.80010974014681
67.5,0.5,3.65791302034384
68.5,0.5,3.94791829074353
69.5,0.5,4.31215810586125
70.5,0.5,4.26836084069504
71.5,0.5,4.30584799977329
72.5,0.5,4.5927272740563
73.5,0.5,4.77431379087972
74.5,0.5,4.78706555572281
75.5,0.5,4.50920124035853
76.5,0.5,4.12945901558834
77.5,0.5,4.5381791185651
78.5,0.5,4.63699391650131
79.5,0.5,4.78539498126155
80.5,0.5,4.82525163568914
81.5,0.5,4.82309816569479
82.5,0.5,5.25298677626314
83.5,0.5,5.675614208293
84.5,0.5,5.22706306369016
85.5,0.5,4.42709330814449
86.5,0.5,4.6577651792809
87.5,0.5,4.79975092672967
88.5,0.5,4.53461507879026
89.5,0.5,4.70693524648381
90.5,0.5,5.13918276789272
91.5,0.5,5.31114343194597
92.5,0.5,5.2219409041945
93.5,0.5,5.14977681727754
94.5,0.5,4.96188616444792
95.5,0.5,5.09209461105723
96.5,0.5,5.52650373147504
97.5,0.5,5.53759789974396
98.5,0.5,5.87924523842521
99.5,0.5,5.62627104544867
